participant_id,edf_file,trial_n,Soa,block_n,tar_choice,P,win,block_score,total_score,prob_1,prob_2,img_1,img_2,sacOnset,sacOffset,sacDur,sacVPeak,sacDist,sacAngle1,sacAmp,sacAngle2,sacxOnset,sacyOnset,sacxOffset,sacyOffset,sacRT,sacChoice
S10,AA01S10.edf,1,230,1,2,0.7,1,1,0,0.7,0.3,t.png,b.png,452,488,37,327.010471069629,6.54961277211538,-3.11984279777529,6.55311473050915,-3.10232721206585,0.36487397365272,0.113740845583379,-6.04632890224457,0.0108958196942694,212,1
S10,AA01S10.edf,2,219,1,2,0.7,1,2,0,0.3,0.7,b.png,t.png,617,653,37,336.131892231317,7.56189929797063,0.0402147067691986,7.56846740871282,0.0578980932893851,0.12782552652061,0.344145223498344,7.54860979318619,0.648162700235844,388,2
S10,AA01S10.edf,3,421,1,2,0.7,1,3,0,0.7,0.3,t.png,b.png,822,866,45,301.931982141394,7.05835642227414,-3.13767704765418,7.24026063532196,-3.08430247454468,0.234124932438135,0.0337500353343785,-6.75481647253036,0.00637804850703105,392,1
S10,AA01S10.edf,4,281,1,1,0.3,1,4,0,0.7,0.3,t.png,b.png,728,766,39,314.715114147659,7.63566005479136,0.0178203444159233,7.64424667158059,0.0506389592301716,0.297639252617955,0.125699399039149,7.79735147953033,0.285414850339293,438,2
S10,AA01S10.edf,5,320,1,1,0.3,1,5,0,0.3,0.7,b.png,t.png,737,775,39,300.759720311671,7.01754592946961,-3.11917227788273,7.02097580514887,-3.1031267490209,0.0847737772855908,-0.0608566617593169,-6.83905905485153,-0.186024694703519,407,1
S10,AA01S10.edf,6,230,1,2,0.7,0,5,0,0.7,0.3,t.png,b.png,606,647,42,266.642753534107,7.65985398045778,-3.08410822750695,7.66197716233872,-3.08412417436342,0.258573744446039,0.024714492727071,-7.2674468755722,-0.396497871726751,367,1
S10,AA01S10.edf,7,230,1,2,0.7,1,6,0,0.3,0.7,b.png,t.png,532,579,48,285.597344510437,6.95699342742631,0.0571767035803334,7.15362680100121,0.0839063636666673,-0.05846485379152,-0.325543094426394,6.87094897031784,0.0903546111658216,293,2
S10,AA01S10.edf,8,220,1,2,0.7,0,6,0,0.3,0.7,b.png,t.png,744,780,37,328.182865075311,6.89602451288786,0.0731304108406083,6.90749642545145,0.0930840145011074,0.341487895697355,-0.313849743455648,7.07610738277435,0.197451563552022,514,2
S10,AA01S10.edf,9,480,1,2,0.7,1,7,0,0.3,0.7,b.png,t.png,860,899,40,269.592863994118,6.76129061104043,0.0629287693206131,6.76880694173059,0.0786026777257319,0.156526261940598,-0.0116930355434306,6.76571267843246,0.409254133701324,370,2
S10,AA01S10.edf,10,290,1,1,0.3,0,7,0,0.3,0.7,b.png,t.png,733,782,50,284.741863728248,7.18973578326973,-3.10876410425329,7.40891647103257,-3.08330867729216,0.0688289814861491,-0.134734779596329,-7.13749551773071,-0.372846286743879,433,1
S10,AA01S10.edf,11,460,1,1,0.3,0,7,0,0.7,0.3,t.png,b.png,889,928,40,284.064121396295,7.84095237208275,0.0412249668090815,7.84786223408283,0.0588193195858828,0.186290379613638,0.0504923742264509,7.87176132202148,0.39596651121974,418,2
S10,AA01S10.edf,12,270,1,2,0.7,1,8,0,0.7,0.3,t.png,b.png,1620,1672,53,375.326666230586,8.13924258667042,-3.12644233244038,8.4495569059571,-3.09452413713164,0.152540343347937,0.217914450913668,-8.00197857618332,0.0847742641344666,1340,1
S10,AA01S10.edf,13,441,1,2,0.7,1,9,0,0.3,0.7,b.png,t.png,1278,1320,43,278.645201462007,6.75133561266435,-0.105371423053709,6.76489361990163,-0.122873774707274,0.190808152779937,0.971047967672348,6.82231682538986,0.275050725787878,827,2
S10,AA01S10.edf,14,340,1,2,0.7,1,10,0,0.3,0.7,b.png,t.png,793,836,44,238.822499571076,6.45033578666785,-0.0046144185743124,6.62963385488369,0.0529370129941368,0.159449599683285,0.187087757512927,6.62353581190109,0.205690048635006,443,2
S10,AA01S10.edf,15,411,1,1,0.3,0,10,0,0.7,0.3,t.png,b.png,814,852,39,354.241363715163,7.87642128737008,-0.0313158034137709,7.87826455750811,-0.038058940098937,0.115335112437606,-0.0911519890651107,7.85555070638657,-0.330060701817274,394,2
S10,AA01S10.edf,16,331,1,2,0.7,0,10,0,0.7,0.3,t.png,b.png,707,749,43,319.711694110383,7.84948889347249,-3.0838706561299,7.84948889347249,-3.0838706561299,0.141112831421196,-0.127825525589287,-7.62567681074142,-0.540002524852753,367,1
S10,AA01S10.edf,17,410,1,1,0.3,0,10,0,0.3,0.7,b.png,t.png,1083,1120,38,287.400444854981,6.88499812923702,-3.11132698921667,6.88526068982411,-3.11009257309732,-0.0116930353688076,-0.336704276502132,-6.71708047389984,-0.531232986599207,663,1
S10,AA01S10.edf,18,420,1,2,0.7,1,11,0,0.3,0.7,b.png,t.png,822,860,39,299.577200329168,7.83095053790762,0.100073824419979,7.83486626404933,0.104933685399668,0.077599000709597,-0.0417225171113387,7.71071696281433,0.746489942073822,392,2
S10,AA01S10.edf,19,371,1,2,0.7,0,11,0,0.3,0.7,b.png,t.png,701,738,38,483.60955897542,7.37583149658926,0.0279625856530694,7.38320584615196,0.0527192465398334,-0.108957224758342,-0.183898571878672,7.17656046152115,0.0207284159259871,322,2
S10,AA01S10.edf,20,470,1,1,0.3,1,12,0,0.3,0.7,b.png,t.png,897,947,51,297.821702789657,7.53988487059241,-3.0970272352947,7.75910163398695,-3.06891867122464,0.0512897511944175,0.099390153773129,-7.47074526548386,-0.208081692457199,417,1
